구분,연도,월,발전량(kWh)
호남태양광,2015,01,8736
호남태양광,2015,02,9591
호남태양광,2015,03,13331
호남태양광,2015,04,9285
호남태양광,2015,05,13060
호남태양광,2015,06,9294
호남태양광,2015,07,9435
호남태양광,2015,08,9617
호남태양광,2015,09,10708
호남태양광,2015,10,11995
호남태양광,2015,11,5817
호남태양광,2015,12,7137
호남태양광,2016,01,7877
호남태양광,2016,02,10726
호남태양광,2016,03,11501
호남태양광,2016,04,10495
호남태양광,2016,05,11893
호남태양광,2016,06,8565
호남태양광,2016,07,9747
호남태양광,2016,08,11720
호남태양광,2016,09,7468
호남태양광,2016,10,7222
호남태양광,2016,11,8335
호남태양광,2016,12,7908
호남태양광,2017,01,9670
호남태양광,2017,02,11054
호남태양광,2017,03,12276
호남태양광,2017,04,11918
호남태양광,2017,05,12867
호남태양광,2017,06,11245
호남태양광,2017,07,7988
호남태양광,2017,08,10357
호남태양광,2017,09,10154
호남태양광,2017,10,9131
호남태양광,2017,11,9099
호남태양광,2017,12,8887
호남태양광,2018,01,9110
호남태양광,2018,02,9380
호남태양광,2018,03,11194
호남태양광,2018,04,11175
호남태양광,2018,05,10470
호남태양광,2018,06,10237
호남태양광,2018,07,10470
호남태양광,2018,08,10305
호남태양광,2018,09,8322
호남태양광,2018,10,11317
호남태양광,2018,11,8594
호남태양광,2018,12,7811
호남태양광,2019,01,9553
호남태양광,2019,02,9739
호남태양광,2019,03,12366
호남태양광,2019,04,10460
호남태양광,2019,05,13012
호남태양광,2019,06,10297
호남태양광,2019,07,8990
호남태양광,2019,08,9832
호남태양광,2019,09,7314
호남태양광,2019,10,10609
호남태양광,2019,11,8806
호남태양광,2019,12,7637
